chapter,section,current_words,priority_category,supports_original_throughline,must_retain_in_main_text,compressible_pct,target_words,needs_fulltext_verification,si_destination,notes
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.9 Decision Framework for Selecting Normalization Strategies,451,Core theoretical contribution,yes,yes,15,383,no,none,"The eight-question decision tree (Figure 1) is an original deliverable explicitly named as a required retained figure; keep the framework, the figure carries most of the content."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.10 Link to Chapters 7 and 8,243,Necessary methodological support,yes,no,60,97,no,none,"Chapter-transition prose; per the Overlap Audit, largely restated by the end-matter Structural Bridge sections. Compress to 2-3 sentences."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",(chapter preamble),12,Necessary methodological support,yes,no,100,0,no,none,"Empty preamble, heading only."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation","7.0 Bridge from Chapter 6, and Five Distinctions This Chapter Insists On",924,Core theoretical contribution,yes,yes,10,832,no,none,"States the five-way evidentiary distinction (association/predictive performance/parameter identifiability/state observability/structural adequacy) — this chapter's, and one of the review's, central original contributions. Must be preserved in full."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.1 Two Reconstruction Goals: Consumption/Exposure and Infection-Level,1964,Essential evidence,yes,yes,45,1080,no,"Supplementary Table (method-family evidence, extends Table 4/5)","Surveys 9 method families against the five-way framework with real citations; the *application* of the framework to each family is essential, the narrative detail per family (Zuccato, Ramin, Huisman, Dai, McMahan, Ai, Alhassan) is largely already captured in Tables 4-5 and can compress substantially in prose."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.2 A Worked Illustration of Why the Five Distinctions Come Apart,690,Core theoretical contribution,yes,yes,20,552,no,none,"Explicitly conceptual (not citing a specific study), demonstrates why the five distinctions come apart; keep as the framework's clarifying example, compress the two-failure-mode walkthrough."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation","7.3 The Five Distinctions, Developed Formally",987,Core theoretical contribution,yes,yes,15,839,no,none,Full formal development of contribution #4 (identifiability/observability-aware reconstruction); must largely survive compression.
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.4 Evaluating Back-Calculation Method Families Against the Five-Way Framework,1435,Essential evidence,yes,yes,25,1076,no,Supplementary Table (expanded Table 5 detail),"Table 4 and Table 5 are named required-retained tables (Model-identifiability-validation matrix); keep both tables, compress the surrounding prose synthesis paragraph."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation","7.5 Validation: What ""Validating"" a Back-Calculation Model Actually Requires",366,Core theoretical contribution,yes,yes,20,293,no,none,"The internal/external/mechanistic validation three-way split is original and reused via cross-reference in Ch8/Ch9/Ch10; keep, candidate to MERGE with §8.16 per the Overlap Audit rather than compress independently."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.6 When State Observability Fails Regardless of Method,389,Core theoretical contribution,yes,yes,25,292,no,Supplementary Table,"Extends §5.7/§6.8's failure-taxonomy pattern to reconstruction; keep the taxonomy, compress the five bullet explanations."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.7 Reporting Framework for Back-Calculated Estimates,280,Necessary methodological support,yes,yes,30,196,no,Supplementary checklist (expanded reporting checklist),"One of five chapter-closing reporting-standard devices (§5.7,§6.9,§7.7,§8.15,§9.8); keep a compressed version in main text, full checklist to SI's expanded reporting checklist."
"7. From Normalized Wastewater Signals to Population-Level Reconstruction: Back-Calculation, Identifiability, and Validation",7.8 Link to Chapter 8,194,Necessary methodological support,yes,no,60,78,no,none,"Chapter-transition prose, largely restated in end-matter Structural Bridge section; compress."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,(chapter preamble),83,Core theoretical contribution,yes,yes,20,66,no,none,"States the chapter's framing (uncertainty entering/interacting/propagating, not a catalog)."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.0 Uncertainty Within the Complete Inverse Pipeline,320,Core theoretical contribution,yes,yes,15,272,no,none,The marginalization integral and 'propagation ≠ bias correction ≠ identifiability restoration' distinction is contribution #4's formal core; must be preserved.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,"8.1 Variability, Uncertainty, Bias, and Information Loss — Kept Distinct",297,Core theoretical contribution,yes,yes,20,238,no,none,Eight-way uncertainty-type taxonomy used throughout the rest of the chapter; keep.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.2 Source-End Uncertainty,491,Essential evidence,yes,yes,40,295,no,Supplementary Table (Table 6 already holds most of this),"Distributional treatment of §3.1's qualitative claims; Table 6 already consolidates this, so prose can compress substantially without losing content."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.3 Sewer-Process Uncertainty,428,Essential evidence,yes,yes,40,257,no,Supplementary Table (Table 6),Same pattern as §8.2 — Table 6 already holds the consolidated version; compress prose.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.4 Sampling and Analytical Uncertainty,428,Necessary methodological support,yes,yes,50,214,no,Supplementary Table (Table 6),"Per the Overlap Audit, this section re-lists §5.5's six concepts rather than only referencing them; largest single compression opportunity in Chapter 8 alongside Table 6 redundancy."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.5 Normalization Uncertainty,173,Core theoretical contribution,yes,yes,25,130,no,none,"The target/normalizer non-independence point is a genuinely new addition beyond §6.6 (not just a restatement); keep, moderate compression only."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.6 Analytical Error Propagation and the Delta Method,202,Necessary methodological support,yes,yes,30,141,no,Supplementary Methods (formal propagation methods),"Standard method exposition; keep the applicability-conditions point (original framing), compress the general delta-method explanation which is textbook material."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.7 Monte Carlo Propagation,465,Essential evidence,yes,yes,30,326,no,Supplementary Methods,"Real WBE-specific MC studies (Jones, Pei, Croft) plus original critique of common misuse; keep the critique, compress the method description and study narrative."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.8 Global Sensitivity Analysis,269,Necessary methodological support,no,yes,50,134,no,Supplementary Methods,Largely standard sensitivity-analysis-methods taxonomy (OAT/Morris/Sobol/PRCC/VoI); compress to the one original point (sensitivity ≠ uncertainty contribution).
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.9 Bayesian Hierarchical Uncertainty Propagation,348,Core theoretical contribution,yes,yes,25,261,no,none,"The narrow-posterior-≠-certainty critique is central and reused via cross-reference in Ch7 Table 5 and Ch9; keep, but per the Overlap Audit this is the canonical location — the Table 5 cell should shorten instead."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.10 Correlated and Dependent Uncertainties,380,Core theoretical contribution,yes,yes,15,323,no,none,"Explicitly named as 'this chapter's most consequential subsection'; the 7 named dependencies are original synthesis. Keep in full, compress only the per-dependency one-line explanations."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,"8.11 Censoring, Nondetects, and Missingness",469,Essential evidence,yes,yes,35,305,no,Supplementary Methods (censoring-methods box already exists),"Safford et al. head-to-head comparison is genuine WBE-specific comparative evidence; keep the finding, the box already summarizes the practical guidance so prose can compress."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.12 Structural Uncertainty and Model Ensembles,335,Core theoretical contribution,yes,yes,20,268,no,none,"Explains why Monte Carlo alone cannot address structural uncertainty — central to contribution #4; keep, moderate compression."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.13 Uncertainty Decomposition Across the WBE Chain,263,Core theoretical contribution,yes,yes,15,224,no,none,The law-of-total-variance decomposition and the 'uncertainty budget' (Figure 3) is a named original deliverable; keep in full.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.14 From Scientific Uncertainty to Decision Uncertainty,370,Core theoretical contribution,yes,yes,15,314,no,none,Introduces the decision-theoretic vocabulary reused in Ch9; canonical location per the Overlap Audit (§9.2 should shorten instead). Keep in full.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.15 Minimum Reporting Requirements,219,Necessary methodological support,yes,yes,30,153,no,Supplementary checklist,"One of five chapter-closing reporting-standard devices; compress to main text summary, full list to SI's expanded reporting checklist."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,8.16 Link to Validation and Public-Health Interpretation,292,Core theoretical contribution,yes,yes,25,219,no,none,Candidate to MERGE with §7.5 per the Overlap Audit (both address validation) rather than compress independently; conceptually necessary either way.
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,Table 6. Uncertainty Source × Type × Distribution × Propagation Method × Mitigation × Residual Effect,574,Essential evidence,yes,yes,5,545,no,none,"Named required-retained table (Model-identifiability-validation-adjacent; maps to target Table 3, 'Normalization-assumption-residual-uncertainty' family). Keep intact — this is where §8.2-8.4's prose detail should live instead of being duplicated in both places."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,Box — Why Monte Carlo Simulation Does Not Solve Model Misspecification,214,Core theoretical contribution,yes,yes,10,193,no,none,"Sharp, quotable statement of a core original point; boxes are cheap in word count relative to their clarity value, keep."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,Box — How to Report Nondetects and Censored Wastewater Data,222,Necessary methodological support,yes,yes,15,189,no,Supplementary checklist,"Practical checklist; keep condensed in main text, full version to SI reporting checklist."
8. Uncertainty Propagation in Wastewater-Based Epidemiology: From Source Variability to Decision Uncertainty,Figure 2 and Figure 3 (delivered as separate image files alongside this document),49,Core theoretical contribution,yes,yes,10,44,no,none,Both figures are named required-retained deliverables (target Figure 3: process-informed reconstruction/uncertainty framework); keep the reference text minimal.
9. Integration with Public-Health Surveillance and Decision-Making,(chapter preamble),325,Internal audit material,no,no,75,81,no,not applicable,"Chapter-specific evidentiary status note; a submission version needs one sentence, not this full four-tier redefinition (already flagged as partially redundant with front matter in the Overlap Audit)."
9. Integration with Public-Health Surveillance and Decision-Making,"9.0 What Chapter 8 Hands to Chapter 9, and What Chapter 9 Does With It",250,Core theoretical contribution,yes,yes,30,175,no,none,"States the translation-layer framing (epistemic object -> institutional object); compress, largely restated in end-matter bridge section."
9. Integration with Public-Health Surveillance and Decision-Making,"9.1 Three Surveillance Objectives, One Signal",601,Core theoretical contribution,yes,yes,20,481,no,none,Trend/anomaly/absolute-magnitude as three institutional design problems is original and load-bearing for the rest of Ch9; keep.
9. Integration with Public-Health Surveillance and Decision-Making,9.2 Alert-Threshold Design and the Asymmetric Cost of Being Wrong,693,Essential evidence,yes,yes,35,450,no,Supplementary Table,"The Link/Garrido detection-performance example and the transfer-validation caution are essential; per the Overlap Audit this is the canonical transfer-validation statement (§10.5/§10.9 should shorten instead). Compress the case-study narrative, keep the general point."
9. Integration with Public-Health Surveillance and Decision-Making,"9.3 Multi-Source Data Fusion: Clinical, Mobility, Weather, Pharmacy, and Hospital Data",533,Essential evidence,yes,yes,35,346,no,Supplementary Table,"The weather-double-role point (confounder AND corroborating stream) is original and important; keep, compress the general fusion-rationale narrative."
9. Integration with Public-Health Surveillance and Decision-Making,9.4 Why Fusion Is Not Free: Correlated Uncertainty Across Data Streams,445,Core theoretical contribution,yes,yes,20,356,no,none,"Extends §8.10's correlated-uncertainty argument to cross-stream fusion; original and needed, keep with light compression."
9. Integration with Public-Health Surveillance and Decision-Making,9.5 The Boundary: What Wastewater-Based Surveillance Cannot Replace,646,Core theoretical contribution,yes,yes,25,484,no,Supplementary Table (non-sewered-population evidence),"States WBE's structural exclusion of non-sewered populations, a required focus area per the compression brief's original Ch9 audit; keep the boundary statement, compress the Yu et al. demographic detail to SI."
9. Integration with Public-Health Surveillance and Decision-Making,"9.6 Small-Catchment and Building-Scale Monitoring: Privacy, Stigma, and Equity",632,Core theoretical contribution,yes,yes,25,474,no,Supplementary Table (equity-framework evidence),"Privacy/re-identification/stigma/equity — required focus areas; keep the three-part distinction, compress individual-source detail (Moallef, Kwiatkowska, Thompson) to SI."
9. Integration with Public-Health Surveillance and Decision-Making,9.7 From Detectable Signal to Actionable Information,574,Core theoretical contribution,yes,yes,15,488,no,none,"The four detectable-to-actionable conditions are a named, explicitly-protected original framework; must be preserved in full."
9. Integration with Public-Health Surveillance and Decision-Making,9.8 Minimum Reporting Requirements for a Decision-Ready Wastewater Signal,363,Necessary methodological support,yes,yes,30,254,no,Supplementary checklist,"Fifth of the chapter-closing reporting-standard devices; compress to main text summary, full checklist to SI."
9. Integration with Public-Health Surveillance and Decision-Making,Table 7. Surveillance Objective × Decision Requirement × Primary Uncertainty Sensitivity × Representative Citation,310,Core theoretical contribution,yes,yes,10,279,no,none,"Named required-retained table; keep intact, it is this chapter's principal organizing deliverable."
9. Integration with Public-Health Surveillance and Decision-Making,"Box — ""Detectable"" Is Not ""Actionable"": Why the Same Signal Can Be Both Real and Not Yet Decision-Ready",269,Core theoretical contribution,yes,yes,15,229,no,none,"Sharp restatement of the four-condition framework; keep, cheap in word count relative to clarity value."
9. Integration with Public-Health Surveillance and Decision-Making,9.9 Evidentiary Note: One Source Withdrawn From Citation This Round,218,Internal audit material,no,no,90,22,no,not applicable,"Citation-withdrawal documentation; internal evidentiary bookkeeping, not review content. Cut from submission draft entirely, retained only in the project's internal audit files."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,(chapter preamble),258,Internal audit material,no,no,70,77,no,not applicable,"Chapter-specific evidence-discipline status note plus the Schang/Moore citogenesis note; the citogenesis catch is a nice methods-transparency anecdote but is SI/cover-letter material, not main-text review content."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,"10.0 What Chapter 9 Hands to Chapter 10, and the Boundary Between Them",162,Core theoretical contribution,yes,yes,30,113,no,none,"States the upstream-vs-downstream boundary between Ch9 and Ch10; compress, largely restated in end-matter bridge section."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.1 Distributed Sewer-Network Sensing,307,Essential evidence,yes,yes,35,200,no,Supplementary Table (Table 8 already holds a version of this),"Schang et al. passive-sampling evidence plus the spatial-resolution/signal-stability trade-off (original framing); keep the trade-off statement, compress narrative, Table 8 already consolidates."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.2 Near-Real-Time and Online Measurements,283,Essential evidence,partial,yes,45,156,no,Supplementary Table,"Sharma et al. biosensor result with an explicit low-TRL classification; keep the TRL classification (supports contribution re: technology-readiness discipline), compress the study narrative."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.3 Sewer Digital Twins,338,Essential evidence,partial,yes,45,186,no,Supplementary Table,"Bam et al. digital-twin synthesis; keep the 'process-constraint-generating tool, not a validated source signal' distinction (original), compress narrative."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.4 Multi-Omics and Expanded Biomarker Panels,410,Essential evidence,partial,yes,45,226,no,Supplementary Table,"Malcom & Bowes AMR review; keep the interpretability/reference-database/batch-effect three-challenge framing, compress narrative."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.5 Process-Informed Artificial Intelligence,413,Core theoretical contribution,yes,yes,30,289,no,Supplementary Table,"Temporal-leakage/cross-population-failure cautions extend the transfer-validation principle; per the Overlap Audit, shorten in favor of §9.2's canonical statement, keep the two named failure modes."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.6 Standard Reference Materials and Interlaboratory Comparability,416,Essential evidence,partial,yes,45,229,no,Supplementary Table,"Keenum et al. position-paper synthesis, including the flagged author-list inconsistency; keep the standardization-as-precondition argument, compress narrative, keep the flag as a citation-hygiene note in SI not main text."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.7 Interoperable Data Infrastructure,373,Detailed example,partial,yes,50,186,no,Supplementary Table,"Therrien et al. data-model synthesis plus this review's own reference-management anecdotes (Hsu et al. ambiguity); the self-referential framing is a nice rhetorical device but is compressible — keep the four interoperability requirements, compress the narrative justification."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.8 Privacy-Preserving and Equitable Analytics,373,Essential evidence,partial,yes,45,205,no,Supplementary Table,"Wang et al. federated-learning example, explicitly non-WBE-scoped; keep the federated-vs-differential-privacy distinction and the 'technical privacy ≠ governance/equity' point, compress narrative."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.9 Climate-Resilient WBE Infrastructure,316,Core theoretical contribution,yes,yes,25,237,no,none,"Deliberately citation-light, connects Ch4/Ch8 forward; keep as the third transfer-validation instance, shorten per the Overlap Audit."
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,10.10 A Technology-Readiness Framework for Process-Informed WBE,443,Core theoretical contribution,yes,yes,15,377,no,none,The six-level TRL framework and the analytical-novelty/field-demonstration/operational-readiness distinction is this chapter's principal original deliverable; keep in full.
10. Enabling Technologies and Research Infrastructures for Process-Informed Wastewater-Based Epidemiology,Table 8. Technology × Required Evidence × Failure Mode × Readiness Level (§10.10),470,Core theoretical contribution,yes,yes,10,423,no,none,Named required-retained table; keep intact.
