reference_number,active_status,publication_type,cited_in_condensed_main_text,cited_in_table,planned_for_SI,section_or_paragraph,claim_supported,evidence_level,full_text_available,full_text_read,retain_in_submission_reference_list,action_required
11,active,Institutional report (National Academies Press),yes,no,"no (institutional framing citation, main text only)",2,WBE captures asymptomatic/undiagnosed infections clinical surveillance misses,Institutional guidance,no -- not obtained this round,no,yes,"No -- general framing claim, not a specific number"
12,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
13,active,Peer-reviewed primary study (PLOS ONE),yes,Table 2 (flow-normalization row),yes -- full detail retained in Supplementary Information alongside the condensed citation,"3.5, 4.2","Flow normalization outperformed 3 fecal biomarkers in a 182-community, 6-state study",Abstract-checked,no -- not obtained this round,no,yes,"No -- correctly paired with Darling et al. [3] as context-dependent, not a universal ranking"
14,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
15,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
16,active,Peer-reviewed primary study (Water),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,3.2,Sewer biofilms cause substantial RNA loss within hours,Abstract-checked,no -- not obtained this round,no,yes,No -- specific 90%-in-2-hours figure correctly omitted
17,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
18,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
19,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
20,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
21,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
22,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
23,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
24,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
25,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
26,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
27,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
28,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
29,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
30,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
31,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
32,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
33,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
34,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
35,active,Peer-reviewed primary study (Environmental Health Perspectives),yes,Table 3 (deconvolution row),yes -- full detail retained in Supplementary Information alongside the condensed citation,5.1,Externally-grounded shedding kernel improves state-observability of deconvolution-based reconstruction,Abstract-checked,no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
36,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
37,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
38,active,Peer-reviewed primary study (PLOS ONE) -- author-list metadata ⚠ partially unresolved,yes,"Table 3 (hybrid/ML row, implied)",yes -- full detail retained in Supplementary Information alongside the condensed citation,5.3,ML model achieves useful short-horizon predictive performance across sewersheds without interpretable parameters,Abstract-checked (⚠ metadata partially unresolved),no -- not obtained this round,no,yes,"No -- correctly framed as a legitimate design choice, not a criticism of the study itself"
39,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
40,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
41,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
42,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
43,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
44,active,Peer-reviewed primary study (Statistics in Medicine),yes,Table 3 (Bayesian/state-space row),yes -- full detail retained in Supplementary Information alongside the condensed citation,5.2,Bayesian functional-data framework reports posterior state estimates without formal observability testing,Abstract-checked,no -- not obtained this round,no,yes,"No -- correctly framed as illustrative, not as a criticism of the study's stated goals"
45,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
46,active,Peer-reviewed primary study (Science of the Total Environment),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,5.4,Formal Bayesian MCMC framework for excretion-fraction uncertainty,Abstract-checked,no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
47,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
48,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
49,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
50,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
51,active,Peer-reviewed critical review (SSM - Population Health),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,6.3,Documented instance of wastewater detection traced to a specific residence,Abstract-checked (metadata-verified),no -- not obtained this round,no,yes,"Fixed this round: condensed text originally read 'documented instances exist' (plural), overstating a single cited example; corrected to singular 'a documented instance exists'"
52,active,Peer-reviewed primary study (PLOS Global Public Health),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,6.3,"Sewer connectivity systematically, not randomly, associated with demographic/geographic factors",Abstract-checked (metadata-verified),no -- not obtained this round,no,yes,"No -- specific ~80% figure correctly omitted, only the qualitative systematic-distribution finding used"
53,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
54,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
55,active,Peer-reviewed primary study (Tropical Medicine and Infectious Disease),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,6.1,Anomaly detection is a formal statistical-process-control problem distinct from trend monitoring,Abstract-checked (metadata-verified),no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
56,WITHDRAWN,"N/A -- withdrawn, author identity unconfirmed",no,no,no,N/A,N/A,N/A,N/A,N/A,no -- do not cite until metadata resolved,Do not use. Re-verify basic author identity from scratch if ever revisited.
57,active,Non-peer-reviewed preprint (medRxiv) -- NOT a final published version,yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,6.1,Event-detection framework reports sensitivity advantage over clinical-data baseline in a large U.S. county sample,"Abstract-checked (⚠ preprint, metadata partial)",no -- not obtained this round,no,yes,No -- Phase 3A Option C edit removed the specific 281-county figure and reframed as 'a recent preprint reports...' with explicit single-study/non-peer-reviewed/single-national-context caveats in the same sentence
58,active,Peer-reviewed primary study (Journal of Medical Internet Research),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,6.2,Four-system (hospital/wastewater/weather/search) fusion outperforms single streams in one study,Abstract-checked (metadata-verified),no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
59,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
60,active,Peer-reviewed primary study (journal not independently re-confirmed this round; see References.md),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,7.1,Passive-sampler validation across nested spatial scales demonstrates fine-scale early-detection capability,Abstract-checked,no -- not obtained this round,no,yes,No -- specific low-prevalence detection-floor figure correctly omitted
61,active,Peer-reviewed review article (Water),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,7.1,Digital twin research is a rapidly growing area with substantial recent growth,Abstract-checked,no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
62,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
63,active,Peer-reviewed narrative/methodological review (Risk Analysis),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,7.2,"Hybrid mechanistic-statistical/physics-informed ML frames structure as constraint on, not replacement for, learned component",Abstract-checked,no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
64,active,Peer-reviewed position paper -- ⚠ duplicated-surname author-list inconsistency unresolved,yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,7.2,Standardized reporting/proficiency testing are necessary preconditions for reliable cross-lab public-health decisions,Abstract-checked (⚠ duplicated-surname author-list flag),no -- not obtained this round,no,yes,"Checked, no fix needed: condensed text already reads 'a national metrology working group argues...', correctly attributing this as one group's position rather than a field-wide consensus; the unresolved author-list flag is noted here for full-text-verification priority tracking, not because the claim itself is overextended"
65,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
66,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
67,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
32b,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
