target_section,paragraph_id,condensed_claim,source_sections,source_references,evidence_level,compression_action,omitted_detail,SI_destination,full_text_verification_required,author_review_required,claim_type,evidence_status,citation_support_scope,evidence_gap_priority
2,P2-6,"Building plumbing (closest stage to source, most tractable, least studied) sets initial dilution; institutional sources (hospitals, prisons, care facilities) can locally dominate a sub-catchment; finite in-building retention allows early transformation.",Ch3 §3.2 (Building and Local Drainage Processes),none directly cited,Conceptual synthesis,shorten,Greywater mixing detail; disinfectant/cleaning-chemical inhibition mechanism detail,S5 Biomarker characteristics (matrix-effects subsection),no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,Not applicable -- no external citation for this paragraph,Low
2,P2-7,"Non-human/non-ingested sources (unused-medication disposal, veterinary use, environmental AMR contributions) are a further source-adjacent bias no excretion-fraction correction detects.","Ch3 §3.1 (chemical dose/route paragraph, non-human-source clause); Ch6 §6.4-6.5 (non-human source caveats, generalized)",none directly cited,Conceptual synthesis,merge,Specific AMR source-attribution metagenomic method detail (reserved for Part 7 if drafted),S9 Technology-readiness evidence,no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,Not applicable -- no external citation,Low
2,P2-8,The sewer-entry load is already a distorted copy of the true source state before any transport/sampling/analytical process acts on it -- the source-state vs. sewer-entry-load distinction that structures the rest of the review.,"Ch3 §3.0 (implied), synthesized as an explicit closing statement for this part",none (this review's own framework),Conceptual synthesis (original framework),merge,none material,none,no,no,Definitional/framework,Author conceptual synthesis,Not applicable -- this review's own organizing distinction,"Author synthesis, no external citation needed"
3.1,P3-1,"Sewage transit is not a uniform slug; different tributary paths carry independently uncertain residence times; a single sample is a time/path-weighted composite. Residence-time distribution varies with pipe geometry, sediment, pump/storage operation.","Ch4 §4.1 (physical processes paragraph, network-level controls paragraph)",none directly cited in this paragraph,Conceptual synthesis,shorten,none material,none,no,no,Definitional/framework,Author conceptual synthesis,Not applicable -- mechanistic restatement of §3.0's formal framework,Low
3.1,P3-2,Residence-time distribution determines how much a sharp source signal is smeared before observation; reporting without characterizing it is reporting an undisclosed temporal distortion.,"Ch3 §3.0 (temporal-distortion definition, generalized to the transport-stage argument)",none,"Conceptual synthesis (original argument, added this round to strengthen Part 3.1)",merge,"none material -- this is new connective synthesis, not omitting source content",none,no,yes -- confirm this added connective paragraph (not present verbatim in the source draft) accurately represents intended emphasis,Mechanistic argument,Conceptual synthesis based on preceding process evidence,"Not applicable -- logical consequence of P3-1's residence-time-distribution definition, no external citation","Author synthesis, no external citation needed"
3.2,P3-3,"Physical (dilution, adsorption/desorption, incomplete mixing), chemical (hydrolysis, redox, speciation), and biological (biofilm-mediated RNA loss) processes reshape signal in transit. Biofilm decay is distance/retention-time dependent, making amplitude loss spatially heterogeneous.","Ch4 §4.1 (physical, chemical, biological processes paragraphs)",Zhang et al. 2023; Jung et al. 2026,Abstract-checked,shorten,"Specific 90%-in-2-hours decay figure (Zhang et al.) and specific rate-constant comparisons (Jung et al.) -- both pending full-text confirmation in source, stated qualitatively here rather than with unconfirmed precision",S6 Normalization evidence / S1 Supplementary Methods (mechanistic literature),yes,no,"Empirical finding, evidence-anchored",Abstract-checked,Zhang et al./Jung et al. support the qualitative biofilm-decay/distance-dependence finding; specific magnitude figures deliberately omitted as pending full-text confirmation,"**Critical** -- rainfall/temperature/RTD-adjacent mechanistic finding, currently only abstract-level"
3.2,P3-4,"Transformation rate/extent jointly governed by temperature, dissolved oxygen, pH, retention time, pipe geometry, sediment, network design -- properties of the network, not the target analyte.",Ch4 §4.1 (network-level controls paragraph),none directly cited,Conceptual synthesis,shorten,none material,none,no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,"Not applicable -- logical extension of P3-3's mechanisms to network-level controls, no new external citation","Author synthesis, no external citation needed"
3.3,P3-5,"Sediment-adsorbed target resuspended later produces a signal spike reflecting historical, not concurrent, source material -- a 'memory' effect indistinguishable from a genuine concurrent rise without independent evidence.",Ch4 §4.1 (sedimentation/resuspension clause); Ch6 §6.8 (sediment sequestration and delayed release failure mode),none directly cited,Conceptual synthesis,merge,none material,none,no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,"Not applicable -- logical consequence of established sedimentation/resuspension mechanism, no external citation for this specific paragraph",Moderate
3.4,P3-6,"Rainfall is not merely dilution: inflow and infiltration dilute, resuspend sediment, shorten retention time, and shift sub-catchment weighting simultaneously; combined-sewer overflow caps rather than dilutes signal.",Ch4 §4.2 (direct effects of rainfall paragraph),none directly cited in this specific paragraph (evidence follows in next paragraph),Conceptual synthesis (mechanistic argument),shorten,"Darling et al. 2025 rural-sewershed CSO detail (deferred to §3.5); Belgian program's specific scale figures (5M inhabitants, 42 plants, 15 months)",S6 Normalization evidence,no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,Not applicable in this specific paragraph -- mechanism description precedes the Janssens et al. citation in the next paragraph,"**Critical** -- rainfall/temperature/RTD core mechanism, evidence follows in P3-7"
3.4,P3-7,"This is a correctable, structured bias, not unstructured noise: explicit rainfall correction substantially improved correlation with clinical data in a large multi-plant program. Temperature independently accelerates decay and biofilm activity; rainfall/temperature often co-occur seasonally.",Ch4 §4.2 (Janssens finding paragraph; warm-season effects paragraph),Janssens et al. 2022 [8]; Guo et al. 2023; Jung et al. 2026,Abstract-checked (Janssens finding is this review's strongest single piece of process-informed-correction evidence),shorten,"Specific 26C temperature threshold (Guo et al., pending full-text confirmation) -- stated qualitatively",S6 Normalization evidence,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,Janssens et al. genuinely supports the rain-correction-improves-correlation finding at the scale described (large multi-plant program); Guo et al.'s specific temperature threshold is deliberately not restated as a number,"**Critical** -- this review's single strongest rainfall/temperature process-informed-correction evidence anchor, still abstract-level only"
3.5,P3-8,"Sections 3.1-3.4's distortions are coupled, not independently correctable -- this coupling is the condition under which the inverse problem becomes poorly identified, especially at low sampling frequency.",Ch4 §4.3 opening,none,Conceptual synthesis (original argument),shorten,none material,none,no,no,Definitional/framework,Author conceptual synthesis,Not applicable -- logical argument from the preceding four subsections,"Author synthesis, no external citation needed"
3.5,P3-9,"A fixed correction ratio cannot restore identifiability (flow outperforms biomarkers in some settings, fails under high I&I in others -- evidence of no universal fixed factor, not contradiction). Process-informed correction narrows the solution space, as demonstrated by the one directly-tested case.",Ch4 §4.3 (two practical implications paragraph),Rainey et al. 2023; Darling et al. 2025; Janssens et al. 2022 [8],Abstract-checked,shorten,none material beyond specific correlation figures already omitted,S6 Normalization evidence,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,"Rainey et al. and Darling et al. each support only their own single-study finding; the 'no universal fixed factor' synthesis is this review's own inference from the pair, not either study's own claim",**Critical** -- cross-city/cross-hydrologic-condition generalizability claim resting on two single-study abstract-checked findings
3.5,P3-10,"The sewer network is an active information filter, not a passive conduit -- this section's core, single-argued conclusion.",Ch4 §4 preamble (sewer-as-active-reactor framing),none,"Conceptual synthesis (original framing, this review's own)",shorten,none material,none,no,no,Original synthesis/proposition,Author conceptual synthesis,"Not applicable -- this review's own framing statement, closes Part 3","Author synthesis, no external citation needed"
4.1,P4-1,"Sampling mode (grab vs. composite) and timing determine what a single sample can represent, independent of downstream correction; grab is vulnerable to diurnal/storm swings, composite trades resolution for averaging.",Ch5 §5.1-§5.2 (sampling location and mode),none directly cited in this paragraph,Conceptual synthesis,shorten,Flow- vs time-proportional composite sub-distinction detail; specific sampling-location representativeness studies,S1 Supplementary Methods,no,no,Definitional/framework,Author conceptual synthesis,"Not applicable -- standard sampling-design distinction, no external citation in this paragraph",Low
4.1,P4-2,"Recovery and inhibition/matrix suppression are mechanistically distinct amplitude-loss terms requiring separate QC. Errors produce three distinct consequences: systematic bias, random error, or information loss. An observation model keeps these from collapsing into one 'uncertainty'.","Ch5 §5.5 (six-concept taxonomy, recovery/inhibition pairing); Ch5 §5.7 (bias/error/information-loss three-way split); Ch5 §5.0 (observation model concept)","Pecson et al. 2021; Zafeiriadou et al. 2024 (both referenced only qualitatively, not named in condensed text)",Abstract-checked (Pecson et al. interlaboratory finding); conceptual synthesis (three-way taxonomy is this review's own),merge,"Pecson et al.'s specific 36-SOP comparison figures; the six-concept taxonomy's full name list (representativeness/recovery/precision/sensitivity/censoring/replicates) collapsed to the two most load-bearing (recovery, inhibition) for space",S1 Supplementary Methods; S5 Biomarker characteristics,yes,"yes -- confirm collapsing the six-concept taxonomy to two named concepts (recovery, inhibition) in-text, with the rest implied by the bias/error/information-loss framing, does not lose content needed by Part 5's later cross-references","Definitional/framework, evidence-anchored","Abstract-checked (Pecson et al., referenced qualitatively)","Pecson et al. supports the interlaboratory-variability finding generally; not cited as supporting the specific six-concept taxonomy itself, which is this review's own","**High** -- method-performance-comparison-adjacent (interlaboratory variability), currently only qualitatively referenced"
4.2,P4-3,Flow-based load conversion corrects dilution; flow measurement is imperfect and location-dependent; instantaneous-flow/composite-concentration time mismatch adds further error.,"Ch6 §6.2 (flow-based normalization, measurement-imperfection paragraph)",none directly cited in this paragraph,Conceptual synthesis,shorten,none material,S6 Normalization evidence,no,no,Mechanistic argument,Conceptual synthesis based on preceding process evidence,"Not applicable -- general measurement-theory point, no external citation",Low
4.2,P4-4,"Flow normalization corrects dilution, not population; census/design/connected populations differ; census normalization misreads real population fluctuation as source-signal change; dynamic estimation adds proxy error and re-identification risk at small scale.",Ch6 §6.3 (census vs. dynamic population),"none directly cited in this paragraph (Baz-Lomba et al. 2019 method detail deliberately not repeated here, per instruction against repeating mass-balance/method detail in Part 2, extended to avoid re-deriving it a third time in Part 4)",Conceptual synthesis,shorten,Baz-Lomba et al. 2019 ammonium-proxy R^2=0.88 finding; Been et al. 2014 ammonium/commuter-pattern finding; Thomas et al. 2017 mobile-device validation study,S6 Normalization evidence,yes,no,Definitional/framework,Author conceptual synthesis,Not applicable -- no external citation used in this paragraph (dynamic-population evidence deliberately not repeated from Part 2),Moderate
4.2,P4-5,"Rainfall/infiltration/industrial discharge each limit flow normalization differently, requiring separate handling; flow outperforms biomarkers in some large multi-site studies, fails under high I&I in others -- a context-dependent applicability condition, not a ranking.","Ch6 §6.2 (combined sewers/I&I paragraph, flow-vs-biomarker comparison paragraph)",Rainey et al. 2023; Darling et al. 2025,Abstract-checked,shorten,182-community/6-state specific study-design detail; Langeveld et al. 2022 Dutch 9-site study detail,S6 Normalization evidence,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,"Rainey et al. and Darling et al. each support only their own single-study/single-condition finding; 'context-dependent, not universal ranking' is this review's own synthesis of the pair","**Critical** -- normalizer-performance comparison claim, cross-site generalizability implied, currently abstract-level only"
4.3,P4-6,"No single population biomarker is universally validated; candidates are proposed, then fail specific criteria independently of one another (creatinine: unstable; cotinine: geographically confounded; PMMoV/crAssphage: inconsistent multi-site performance).","Ch6 §6.4 (chemical biomarkers), §6.5 (microbial biomarkers) -- heavily condensed from full per-biomarker narrative","Chen et al. 2014; Maal-Bared et al. 2023; Dhiyebi et al. 2023 (referenced only qualitatively, not named in condensed text)",Abstract-checked,shorten,"Full seven-criterion evaluation table; caffeine/paraxanthine, ammonium/TKN/TP, HF183/BacHuman/mtDNA candidate detail; all specific correlation-improvement percentages and site counts",S5 Biomarker characteristics,yes,"yes -- confirm this level of compression (naming only 4 of ~9 candidate biomarkers) is acceptable, or whether 1-2 more named examples should be restored","Empirical finding, evidence-anchored",Abstract-checked,"Each named biomarker's performance pattern is a single- or few-study finding (Chen et al., Maal-Bared et al., Dhiyebi et al.); 'no biomarker universally validated' is this review's own synthesis across many single-site studies","**Critical** -- normalizer-performance comparison, the single highest citation-density paragraph in the manuscript, currently abstract-level only"
4.3,P4-7,"Fate matching (shared persistence, partitioning, temperature sensitivity) is the mechanistic requirement for a valid ratio; near-LOD denominators destabilize ratios disproportionately in exactly the settings needing stable signal most; a ratio does not automatically recover the source state.",Ch6 §6.6 (ratio normalization and error propagation) -- this review's stated 'principal original contribution' for the normalization chapter,none (this review's own derived proposition),Conceptual synthesis (original claim),shorten,The formal 1/normalizer^2 delta-method derivation; log-transform mitigation discussion; Bayesian joint-latent-variable alternative,S6 Normalization evidence; S8 Uncertainty methods,no,no,Original synthesis/proposition,Author conceptual synthesis,"Not applicable -- explicitly this review's own principal original claim for this chapter, not sourced to any external study","Author synthesis, no external citation needed"
4.4,P4-8,"Three recurring failure modes: correlated numerator-denominator error (shared aliquot/upstream driver), unstable denominator (near-LOD), event-dependent correction failure (CSO loss, resuspension) -- none correctable by any normalizer choice.","Ch6 §6.8 (When Normalization Fails, condensed from 8 bullet items to 3 highest-priority ones per this round's instruction)",none directly cited in this paragraph,Conceptual synthesis,shorten,"5 of 8 original failure-mode bullets (irreversible degradation, unknown non-human sources, spatial mixing/non-identifiability, structural-model misspecification, target/normalizer structurally different fate as a standalone bullet -- the latter folded into §4.3's fate-matching paragraph instead)",S6 Normalization evidence,no,yes -- confirm the 3 retained failure modes are the correct highest-priority subset; the 5 omitted modes are listed above for author check against the original 8,Mechanistic argument,Conceptual synthesis based on preceding process evidence,"Not applicable -- no external citation, logical consequence of established mechanisms",Moderate
4.4,P4-9,"Core proposition, stated once and preserved near-verbatim: normalization is a mechanism-specific correction, not reconstruction of the source state; it works only when three joint conditions hold; otherwise it is a differently, and potentially more confidently, distorted signal.","Ch6 §6.0 (boxed 'Normalization != reconstruction' proposition) -- this is the chapter's central claim, carried forward near-verbatim per explicit instruction",none (this review's own proposition),"Conceptual synthesis (Original Contribution #3, stated in full)",retain,none -- this is the one proposition this round's instruction explicitly required to survive at full strength,none,no,no,Original synthesis/proposition,Author conceptual synthesis,"Not applicable -- this review's own central proposition, explicitly protected, not sourced externally","Author synthesis, no external citation needed"
4.4 / Table 2,P4-10,"Table 2 consolidates 4 normalization strategies (flow, census population, dynamic population, biomarker ratio) against corrected mechanism, required assumption, and residual uncertainty.","Ch6 Table 3 (original 11-row normalization matrix), condensed to 4 strategy-class rows",same set as P4-3 through P4-7 (Rainey et al. 2023; Darling et al. 2025; Chen et al. 2014; Maal-Bared et al. 2023; Dhiyebi et al. 2023),Abstract-checked (table synthesizes paragraphs above),merge,"7 of 11 original per-biomarker rows (creatinine, cotinine/5-HIAA, caffeine/paraxanthine, ammonium/TKN/TP, PMMoV, crAssphage, HF183/BacHuman/mtDNA as separate rows) -- collapsed into the single 'biomarker ratio' row's general fate-matching requirement",S6 Normalization evidence (full 11-row table retained there),yes,"yes -- confirm 4-row table density is acceptable for a Water Research submission table, or whether 1-2 named-biomarker example rows should be restored for concreteness","Empirical finding, evidence-anchored (table)",Abstract-checked,Table cells summarize the same single-study findings named in P4-3 through P4-7; no cell asserts a cross-study consensus beyond what the underlying citations individually support,**Critical** -- consolidates all of Part 4's normalizer-performance and rainfall/infiltration findings into one table; highest-density evidence-gap location in the manuscript
5.1,P5-1,"Five inferential targets (trend, relative change, anomaly, absolute load, prevalence/incidence/consumption/exposure) require different evidentiary bars; trend/anomaly tolerate mere covariance, absolute/prevalence require model correctness.","Ch7 §7.1.2 (three-output distinction, extended to five targets)",none,"Conceptual synthesis (original taxonomy, extending Ch7's three-way distinction to five)",merge,"none material -- this is an original extension, not an omission",none,no,yes -- confirm the extension from three to five targets (adding relative change and splitting prevalence/incidence/consumption/exposure) matches intended scope,Definitional/framework,Author conceptual synthesis,Not applicable -- original organizing taxonomy,"Author synthesis, no external citation needed"
5.1,P5-2,"Six reconstruction method families exist on a mechanistic-commitment spectrum; appropriateness depends on inferential target, not popularity; Huisman et al.'s externally-grounded-kernel deconvolution is the clearest state-observability-designed example.","Ch7 §7.1.2, §7.4 (method-family survey, heavily condensed)",Huisman et al. 2022,"Conceptual synthesis, anchored by abstract-checked finding",shorten,"Per-study narrative for Zuccato, Ramin, Schoen, Dai, McMahan, Ai, Alhassan (all moved to SI Table S-model-families / expanded Table 3 audit)",S7 Reconstruction-model evidence,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,Huisman et al. genuinely supports the state-observability-design claim for that one study; 'no family satisfies every target' is this review's own synthesis across the full method-family survey,"**High** -- method-performance-comparison claim spanning 7+ studies, all still abstract-level"
5.2,P5-3,"Six concepts distinguished: structural identifiability, practical identifiability, parameter uncertainty, state observability, equifinality, informative data design -- each a genuinely different question.","Ch7 §7.0, §7.3 (five-way distinction, extended with equifinality and informative data design)",none directly cited in this paragraph (general epidemic-modeling-identifiability literature referenced only structurally),Conceptual synthesis (original taxonomy),merge,"Liyanage et al. 2025 and Deva et al. 2021's full general (non-WBE) identifiability-literature discussion, moved to SI",S7 Reconstruction-model evidence,no,no,Definitional/framework,Author conceptual synthesis,"Not applicable in this paragraph -- the six-concept taxonomy itself is original; general identifiability literature (Liyanage, Deva) supports the individual concept definitions but is not cited inline here","Author synthesis, no external citation needed"
5.2,P5-4,"Central judgment, argued once: a model may fit while the target state remains non-identifiable; narrow posterior/low error is not by itself evidence of identifiability. Dai et al.'s Bayesian framework illustrates: posterior state estimates without formal observability/synthetic-recovery testing.","Ch7 §7.0 boxed proposition; Ch8 §8.9 (narrow-posterior critique, canonical merge per Overlap Audit)",Dai et al. 2024,Original synthesis + Abstract-checked illustrative example,merge,"The full prior-sensitivity/posterior-predictive-check diagnostic list (moved to SI); the general overconfident-prior-vs-genuine-informativeness mechanism explanation, retained in compressed form only",S8 Uncertainty methods and evidence,yes,no,"Original synthesis/proposition, evidence-illustrated",Abstract-checked (Dai et al. illustrative example); Author conceptual synthesis (the central judgment itself),"Dai et al. supports only the specific claim that no formal observability test was confirmed for that one study; the general 'model may fit while non-identifiable' principle is this review's own, illustrated but not proven by the example","**High** -- model-validation-tier claim, central to Part 5's thesis"
5.3,P5-5,"Six validation levels distinguished: internal fit, temporal holdout, external site validation, event-based validation, synthetic-state recovery, decision-value validation -- external site validation is where transferability is actually tested.","Ch7 §7.5 (three-level validation, expanded to six) + Ch8 §8.16 (coverage/posterior-predictive-check content merged in per Overlap Audit)",none directly cited in this paragraph,"Conceptual synthesis (original taxonomy, extending Ch7's three-way split)",merge,"none material -- extension is original, executes the Overlap Audit's flagged §7.5/§8.16 merge",none,no,"yes -- confirm the three-to-six-level extension (adding event-based, synthetic-state-recovery, decision-value as named levels) matches intended granularity",Definitional/framework,Author conceptual synthesis,Not applicable -- original taxonomy,"Author synthesis, no external citation needed"
5.3,P5-6,Predictive performance != source-state recovery: Ai et al.'s ML model forecasts well with no interpretable parameter or state representation. Validation level reported should match inferential target claimed.,"Ch7 §7.1.2, §7.3, §7.4 Table 4 (Ai et al. cell)",Ai et al. 2022,"Abstract-checked (⚠ metadata partially unresolved, same tier as prior use elsewhere in this review)",shorten,"The 70/30 train/test split's specific performance-metric figures, deliberately omitted as pending full-text confirmation",S7 Reconstruction-model evidence,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,Ai et al. genuinely supports the no-interpretable-parameter/no-state-representation claim for that specific study design; does not itself claim the general principle this review draws from it,**High** -- model-validation-tier claim
5.4,P5-7,"Seven uncertainty sources must be propagated together, not separately: input uncertainty, correlated parameters, ratio uncertainty, censoring/LOD, temporal dependence, structural uncertainty, scenario uncertainty.","Ch8 §8.0-§8.3, §8.5, §8.10-§8.13 (heavily condensed; §8.4's six-concept re-listing cut entirely per Overlap Audit, cross-referenced to Part 4.1 instead)",none directly cited in this paragraph,"Conceptual synthesis (original taxonomy, Original Contribution #4's formal core)",merge,"The marginalization-integral formal notation; the full named-dependency list (rainfall-flow, flow-retention-time, etc.) from §8.10, moved to SI Table S5",S8 Uncertainty methods and evidence (full Table S5),no,no,Definitional/framework,Author conceptual synthesis,"Not applicable -- original taxonomy, Table S5 in SI carries the evidence-anchored version of these sources","Author synthesis, no external citation needed"
5.4,P5-8,"Three propagation-method families solve different problems: delta method (linear, symmetric), Monte Carlo (nonlinear, resampled, correlation-aware -- Jones et al.'s MCMC excretion-fraction framework as example), Bayesian/ensemble (additionally addresses structural uncertainty).","Ch8 §8.6-§8.9, §8.12 (mechanics condensed to what-each-solves; technical derivations moved to SI per this round's explicit instruction)",Jones et al. 2014,Conceptual synthesis + Abstract-checked illustrative example,shorten,Full delta-method Jacobian derivation; Monte Carlo procedural steps; Bayesian-model-averaging/scenario-envelope mechanics -- all moved to Supplementary Methods per this round's explicit instruction not to repeat technical mechanics,S1 Supplementary Methods; S8 Uncertainty methods and evidence,yes,no,"Methodological guidance, evidence-illustrated",Abstract-checked (Jones et al. illustrative example),Jones et al. supports only that one formal Bayesian MCMC framework exists for excretion-fraction uncertainty; general method-family characterization is this review's own,Moderate
5.5,P5-9,"Six concepts for defensible inference: calibrated coverage (rarely reported), sensitivity analysis (!= mathematical sensitivity), value of information, uncertainty communication, decision thresholds, irreducible uncertainty.","Ch8 §8.8, §8.14-§8.15 (condensed; canonical location for exceedance-probability/asymmetric-cost vocabulary per Overlap Audit, Part 6.1 shortens instead)",none directly cited in this paragraph,Conceptual synthesis (original taxonomy),merge,Full minimum-reporting-requirement checklist (moved to SI expanded reporting checklist),S10 Expanded reporting checklist,no,no,Definitional/framework,Author conceptual synthesis,Not applicable -- original taxonomy,"Author synthesis, no external citation needed"
